docker 127.0.0.1 - - [03/01/2017:21:21:42 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:42 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:42 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:42 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:42 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:42 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:43 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:43 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:43 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:43 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:43 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:43 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:43 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:43 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:44 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:44 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:44 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:44 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:44 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:44 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
